cowcode,location,asciiname,longitude,latitude,event_date,side,numreports,max_scope,max_partviolence,max_secengagement,mean_avg_numparticipants
704,1514588,Andijon,72.34424,40.78206,5/13/2005,1,164,2,3,3,4280.627907
770,1166993,Rawalpindi,73.0679,33.6007,12/27/2007,1,98,0,3,NA,3050
710,1280737,Lhasa,91.1,29.65,3/14/2008,1,70,0,3,3,335
703,1528675,Bishkek,74.59,42.87,3/24/2005,1,65,0,2,3,2251.785714
630,112931,Tehran,51.42151,35.69439,12/27/2009,1,47,0,1,3,4375
703,1528675,Bishkek,74.59,42.87,4/7/2010,1,47,0,3,3,2887.5
370,625144,Minsk,27.56667,53.9,3/25/2006,1,45,0,2,3,6500
652,170654,Damascus,36.29128,33.5102,3/15/2011,1,41,0,NA,2,29.26829268
651,360630,Cairo,31.24967,30.06263,8/14/2013,1,37,0,3,3,1506.25
652,170017,Hamah,36.75783,35.13179,7/1/2011,1,36,0,0,3,455555.5833
692,290340,Manama,50.58565,26.22787,3/16/2011,1,35,2,3,3,NA
775,1298824,Yangon,96.15611,16.80528,9/26/2007,1,33,0,2,3,54200
438,2422465,Conakry,-13.67729,9.53795,9/28/2009,1,31,0,1,3,20638.46154
437,2293538,Abidjan,-4.01266,5.30966,3/25/2004,1,30,0,3,3,NA
365,524901,Moscow,37.61556,55.75222,7/18/2013,1,30,0,1,2,5202.357143
371,616052,Yerevan,44.51361,40.18111,3/1/2008,1,29,0,3,3,5453.846154
692,290340,Manama,50.58565,26.22787,2/17/2011,1,27,1,NA,3,2000
651,360630,Cairo,31.24967,30.06263,1/28/2011,1,26,0,1,3,8835.714286
651,360630,Cairo,31.24967,30.06263,1/25/2013,1,26,0,2,2,25162.5
370,625144,Minsk,27.56667,53.9,3/24/2006,1,25,0,0,2,258.35
630,113646,Tabriz,46.2919,38.08,5/22/2006,1,25,1,1,3,1446.153846
651,360630,Cairo,31.24967,30.06263,2/2/2011,0,24,0,2,2,1636.666667
365,524901,Moscow,37.61556,55.75222,4/14/2007,1,23,0,1,2,1210
651,360630,Cairo,31.24967,30.06263,2/1/2011,1,23,0,0,NA,79052.63158
651,360630,Cairo,31.24967,30.06263,2/2/2011,1,23,0,2,2,2000
620,88319,Benghazi,20.06859,32.11486,2/15/2011,1,23,1,1,2,200
820,1735161,Kuala Lumpur,101.68653,3.1412,7/9/2011,1,23,0,3,3,13452.35714
372,611717,Tbilisi,44.83368,41.69411,11/22/2003,1,22,0,1,2,14954.54545
370,625144,Minsk,27.56667,53.9,3/21/2006,1,22,0,1,2,1832.142857
703,1528675,Bishkek,74.59,42.87,11/7/2006,1,22,0,3,3,4400
365,524901,Moscow,37.61556,55.75222,5/31/2010,1,22,0,NA,2,862.5
645,98182,Baghdad,44.40088,33.34058,2/25/2011,1,22,0,2,3,2116.666667
365,524901,Moscow,37.61556,55.75222,12/24/2011,1,22,0,0,2,40993.66667
437,2293538,Abidjan,-4.01266,5.30966,1/26/2003,0,21,0,2,2,11578.125
703,1528249,Jalal-Abad,73,40.93333,3/20/2005,1,21,0,3,3,7611.111111
703,1528675,Bishkek,74.59,42.87,6/17/2005,1,21,0,2,2,3015.789474
800,1609350,Bangkok,100.50144,13.75398,7/22/2007,1,21,0,2,2,9038.461538
775,1298824,Yangon,96.15611,16.80528,9/27/2007,1,21,0,2,3,29594.44444
820,1735161,Kuala Lumpur,101.68653,3.1412,11/10/2007,1,21,0,2,2,51916.66667
630,112931,Tehran,51.42151,35.69439,6/15/2009,1,21,0,1,3,394050
365,524901,Moscow,37.61556,55.75222,12/10/2011,1,21,0,0,2,35004.80952
370,625144,Minsk,27.56667,53.9,3/19/2006,1,20,0,0,1,8222.222222
438,2422465,Conakry,-13.67729,9.53795,1/22/2007,1,20,0,1,3,25400
580,1070940,Antananarivo,47.53613,-18.91368,1/26/2009,1,20,0,3,3,4688.888889
679,71137,Sanaa,44.20667,15.35472,2/21/2011,1,20,0,NA,2,5810
692,290340,Manama,50.58565,26.22787,2/22/2011,1,20,0,NA,NA,11388.88889
652,170017,Hamah,36.75783,35.13179,6/3/2011,1,20,0,1,3,28400
365,524901,Moscow,37.61556,55.75222,3/1/2015,1,20,0,NA,2,26166.66667
703,1528675,Bishkek,74.59,42.87,4/19/2007,1,19,0,2,2,4611.111111
775,1298824,Yangon,96.15611,16.80528,9/24/2007,1,19,0,0,2,59166.66667
365,554234,Kaliningrad,20.51095,54.70649,1/30/2010,1,19,1,0,1,9653.846154
616,2464470,Tunis,10.16579,36.81897,1/23/2011,1,19,0,0,NA,1082.352941
651,360630,Cairo,31.24967,30.06263,1/29/2011,1,19,0,1,3,8693.333333
615,2507480,Algiers,3.04197,36.7525,2/12/2011,1,19,0,1,3,2016.384615
439,2357048,Ouagadougou,-1.53388,12.36566,4/14/2011,1,19,0,2,NA,15000
652,169577,Homs,36.72339,34.72682,4/19/2011,1,19,0,1,3,11463.15789
820,1735161,Kuala Lumpur,101.68653,3.1412,4/28/2012,1,19,0,2,2,27859.63158
370,625144,Minsk,27.56667,53.9,3/22/2006,1,18,0,0,2,833.3333333
790,1283240,Kathmandu,85.3206,27.70169,4/22/2006,1,18,0,1,2,136870.3889
770,1176615,Islamabad,73.04329,33.72148,9/29/2007,1,18,0,2,2,200
616,2464470,Tunis,10.16579,36.81897,1/14/2011,1,18,0,1,3,920
692,290340,Manama,50.58565,26.22787,2/16/2011,1,18,0,0,1,2622.222222
692,290340,Manama,50.58565,26.22787,2/19/2011,1,18,0,NA,2,2000
775,1314042,Letpandan,95.75076,17.78664,3/10/2015,1,18,0,2,2,175
770,1176615,Islamabad,73.04329,33.72148,7/27/2007,1,17,0,3,2,200
580,1070940,Antananarivo,47.53613,-18.91368,2/7/2009,1,17,0,3,3,5250
630,112931,Tehran,51.42151,35.69439,7/30/2009,1,17,0,1,2,1711.111111
703,1527299,Talas,72.24274,42.52277,4/7/2010,1,17,0,3,2,2640
620,88319,Benghazi,20.06859,32.11486,2/17/2011,1,17,1,1,3,800
620,2210247,Tripoli,13.18746,32.87519,2/20/2011,1,17,0,1,3,5155
670,108410,Riyadh,46.72185,24.68773,10/14/2003,1,16,0,0,2,326.7857143
703,1527534,Osh,72.7985,40.52828,3/21/2005,1,16,0,1,2,1200
530,344979,Addis Ababa,38.74689,9.02497,6/8/2005,1,16,0,2,3,NA
370,625144,Minsk,27.56667,53.9,3/20/2006,1,16,0,0,2,2895.454545
630,112931,Tehran,51.42151,35.69439,6/12/2006,1,16,0,NA,2,166.6666667
703,1528675,Bishkek,74.59,42.87,11/3/2006,1,16,0,NA,1,2958.333333
630,112931,Tehran,51.42151,35.69439,12/9/2007,1,16,0,1,2,200
651,360630,Cairo,31.24967,30.06263,2/3/2011,1,16,0,2,3,21500
620,88319,Benghazi,20.06859,32.11486,2/19/2011,1,16,0,1,3,50000
365,524901,Moscow,37.61556,55.75222,5/6/2012,1,16,0,2,2,21357.14286
651,360630,Cairo,31.24967,30.06263,8/16/2013,1,16,0,2,3,15000
365,524901,Moscow,37.61556,55.75222,2/24/2014,1,16,0,NA,2,500
437,2293538,Abidjan,-4.01266,5.30966,1/27/2003,0,15,0,1,2,1326.923077
373,587084,Baku,49.89201,40.37767,10/16/2003,1,15,0,3,3,1866.666667
372,611717,Tbilisi,44.83368,41.69411,11/14/2003,1,15,0,0,1,10666.66667
365,524901,Moscow,37.61556,55.75222,5/1/2005,1,15,0,0,2,11300
630,112931,Tehran,51.42151,35.69439,2/11/2006,0,15,0,NA,NA,394500
790,1283240,Kathmandu,85.3206,27.70169,4/20/2006,1,15,0,1,3,25909.09091
703,1528675,Bishkek,74.59,42.87,4/11/2007,1,15,0,0,1,8375
630,112931,Tehran,51.42151,35.69439,10/8/2007,1,15,0,1,2,181.8181818
365,524901,Moscow,37.61556,55.75222,11/24/2007,1,15,0,1,2,1638.461538
500,232422,Kampala,32.58219,0.31628,9/10/2009,1,15,1,3,3,NA
703,1527299,Talas,72.24274,42.52277,4/6/2010,1,15,0,2,2,885
616,2464470,Tunis,10.16579,36.81897,1/13/2011,1,15,0,1,3,250
616,2464470,Tunis,10.16579,36.81897,1/17/2011,1,15,0,NA,2,200
616,2464470,Tunis,10.16579,36.81897,1/18/2011,1,15,0,NA,2,1260
651,360630,Cairo,31.24967,30.06263,1/26/2011,1,15,0,3,3,1100
630,112931,Tehran,51.42151,35.69439,2/14/2011,1,15,0,1,3,3866.666667
620,88319,Benghazi,20.06859,32.11486,2/18/2011,1,15,0,1,3,2000
652,170017,Hamah,36.75783,35.13179,7/8/2011,1,15,0,NA,3,308333.3333
651,360630,Cairo,31.24967,30.06263,2/1/2013,1,15,0,1,2,2000
365,498817,Saint Petersburg,30.31413,59.93863,7/18/2013,1,15,0,NA,2,1235.714286
365,524901,Moscow,37.61556,55.75222,12/30/2014,1,15,0,1,2,1325
630,119208,Qom,50.8764,34.6401,1/12/2003,3,14,NA,NA,NA,4000
630,112931,Tehran,51.42151,35.69439,6/13/2003,1,14,0,2,2,777.7777778
630,112931,Tehran,51.42151,35.69439,2/10/2005,0,14,0,NA,NA,15000
